Timings,Voltage [V],Current Corrected [A] ,Power [W],Status,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,TimeSeconds
00:00:01,5.0,0.218,1.09,Not at Work,,,,,,,1.0
00:00:02,5.0,0.198,0.99,Not at Work,,,,,Average Power Consumption:,1.04,2.0
00:00:03,5.0,0.198,0.99,Not at Work,,,,,Power Consumption 25 ° C:,1.09,3.0
00:00:04,5.0,0.198,0.99,Not at Work,,,,,Power Consumption 30 ° C:,1.27,4.0
00:00:05,5.0,0.207,1.04,Not at Work,,,,,,,5.0
00:00:06,5.0,0.201,1.01,Not at Work,,,,,,,6.0
00:00:07,5.0,0.207,1.04,Not at Work,,,,,,,7.0
00:00:08,5.0,0.198,0.99,Not at Work,,,,,,,8.0
00:00:09,5.0,0.196,0.98,Not at Work,,,,,,,9.0
00:00:10,5.0,0.231,1.16,At Work (In the Office),,,,,,,10.0
00:00:11,5.0,0.198,0.99,At Work (In the Office),,,,,,,11.0
00:00:12,5.0,0.195,0.975,At Work (In the Office),,,,,,,12.0
00:00:13,5.0,0.198,0.99,At Work (In the Office),,,,,,,13.0
00:00:14,5.0,0.198,0.99,At Work (In the Office),,,,,,,14.0
00:00:15,5.0,0.213,1.07,At Work (In the Office),,,,,,,15.0
00:00:16,5.0,0.198,0.99,At Work (In the Office),,,,,,,16.0
00:00:17,5.0,0.195,0.975,At Work (In the Office),,,,,,,17.0
00:00:18,5.0,0.21,1.05,At Work (In the Office),,,,,,,18.0
00:00:19,5.0,0.195,0.975,At Work (In the Office),,,,,,,19.0
00:00:20,5.0,0.21,1.05,At Work (In the Office),,,,,,,20.0
00:00:21,5.0,0.222,1.11,At Work (In the Office),,,,,,,21.0
00:00:22,5.0,0.196,0.98,At Work (In the Office),,,,,,,22.0
00:00:23,5.0,0.201,1.01,At Work (In the Office),,,,,,,23.0
00:00:24,5.0,0.194,0.97,At Work (In the Office),,,,,,,24.0
00:00:25,5.0,0.198,0.99,At Work (In the Office),,,,,,,25.0
00:00:26,5.0,0.208,1.04,At Work (In the Office),,,,,,,26.0
00:00:27,5.0,0.2,1.0,At Work (In the Office),,,,,,,27.0
00:00:28,5.0,0.208,1.04,At Work (In the Office),,,,,,,28.0
00:00:29,5.0,0.227,1.14,At Work (In the Office),,,,,,,29.0
00:00:30,5.0,0.205,1.03,At Work (In the Office),,,,,,,30.0
00:00:31,5.0,0.21,1.05,At Work (In the Office),,,,,,,31.0
00:00:32,5.0,0.201,1.01,At Work (In the Office),,,,,,,32.0
00:00:33,5.0,0.205,1.03,At Work (In the Office),,,,,,,33.0
00:00:34,5.0,0.195,0.975,At Work (In the Office),,,,,,,34.0
00:00:35,5.0,0.204,1.02,At Work (In the Office),,,,,,,35.0
00:00:36,5.0,0.231,1.16,At Work (In the Office),,,,,,,36.0
00:00:37,5.0,0.199,0.995,At Work (In the Office),,,,,,,37.0
00:00:38,5.0,0.197,0.985,At Work (In the Office),,,,,,,38.0
00:00:39,5.0,0.207,1.04,At Work (In the Office),,,,,,,39.0
00:00:40,5.0,0.198,0.99,At Work (In the Office),,,,,,,40.0
00:00:41,5.0,0.207,1.04,At Work (In the Office),,,,,,,41.0
00:00:42,5.0,0.198,0.99,At Work (In the Office),,,,,,,42.0
00:00:43,5.0,0.195,0.975,At Work (In the Office),,,,,,,43.0
00:00:44,5.0,0.231,1.16,At Work (In the Office),,,,,,,44.0
00:00:45,5.0,0.198,0.99,At Work (In the Office),,,,,,,45.0
00:00:46,5.0,0.195,0.975,At Work (In the Office),,,,,,,46.0
00:00:47,5.0,0.22,1.1,At Work (In the Office),,,,,,,47.0
00:00:48,5.0,0.229,1.15,At Work (In the Office),,,,,,,48.0
00:00:49,5.0,0.205,1.03,At Work (In the Office),,,,,,,49.0
00:00:50,5.0,0.199,0.995,At Work (In the Office),,,,,,,50.0
00:00:51,5.0,0.195,0.975,At Work (In the Office),,,,,,,51.0
00:00:52,5.0,0.233,1.17,At Work (In the Office),,,,,,,52.0
00:00:53,5.0,0.195,0.975,At Work (In the Office),,,,,,,53.0
00:00:54,5.0,0.21,1.05,At Work (In the Office),,,,,,,54.0
00:00:55,5.0,0.2,1.0,At Work (In the Office),,,,,,,55.0
00:00:56,5.0,0.198,0.99,At Work (In the Office),,,,,,,56.0
