TimeSeconds,Power [W],CumulativeEnergy,Status
1.0,1.09,1.09,Not at Work
2.0,0.99,2.08,Not at Work
3.0,0.99,3.0700000000000003,Not at Work
4.0,0.99,4.0600000000000005,Not at Work
5.0,1.04,5.1000000000000005,Not at Work
6.0,1.01,6.11,Not at Work
7.0,1.04,7.15,Not at Work
8.0,0.99,8.14,Not at Work
9.0,0.98,9.120000000000001,Not at Work
10.0,1.16,10.280000000000001,At Work (In the Office)
11.0,0.99,11.270000000000001,At Work (In the Office)
12.0,0.975,12.245000000000001,At Work (In the Office)
13.0,0.99,13.235000000000001,At Work (In the Office)
14.0,0.99,14.225000000000001,At Work (In the Office)
15.0,1.07,15.295000000000002,At Work (In the Office)
16.0,0.99,16.285,At Work (In the Office)
17.0,0.975,17.26,At Work (In the Office)
18.0,1.05,18.310000000000002,At Work (In the Office)
19.0,0.975,19.285000000000004,At Work (In the Office)
20.0,1.05,20.335000000000004,At Work (In the Office)
21.0,1.11,21.445000000000004,At Work (In the Office)
22.0,0.98,22.425000000000004,At Work (In the Office)
23.0,1.01,23.435000000000006,At Work (In the Office)
24.0,0.97,24.405000000000005,At Work (In the Office)
25.0,0.99,25.395000000000003,At Work (In the Office)
26.0,1.04,26.435000000000002,At Work (In the Office)
27.0,1.0,27.435000000000002,At Work (In the Office)
28.0,1.04,28.475,At Work (In the Office)
29.0,1.14,29.615000000000002,At Work (In the Office)
30.0,1.03,30.645000000000003,At Work (In the Office)
31.0,1.05,31.695000000000004,At Work (In the Office)
32.0,1.01,32.705000000000005,At Work (In the Office)
33.0,1.03,33.73500000000001,At Work (In the Office)
34.0,0.975,34.71000000000001,At Work (In the Office)
35.0,1.02,35.73000000000001,At Work (In the Office)
36.0,1.16,36.89000000000001,At Work (In the Office)
37.0,0.995,37.885000000000005,At Work (In the Office)
38.0,0.985,38.870000000000005,At Work (In the Office)
39.0,1.04,39.910000000000004,At Work (In the Office)
40.0,0.99,40.900000000000006,At Work (In the Office)
41.0,1.04,41.940000000000005,At Work (In the Office)
42.0,0.99,42.93000000000001,At Work (In the Office)
